stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
21958,5740,Lisboa Gare Oriente,,38.768061,-9.100975
22017,8302,Agualva,,38.584943,-8.7095
22018,8303,Soares Costa,,38.581275,-8.720405
21886,5080,Aguas Moura Est,,38.577058,-8.743967
22016,8301,Aguas Moura Bombeiros,,38.58422,-8.697147
22019,8304,Aguas Moura Cp,,38.573958,-8.747972
21887,5081,Aguas Moura,,38.583978,-8.691167
22021,8306,Gambia R 1 de Maio,,38.568542,-8.764037
22020,8305,Escumalha,,38.569935,-8.754367
21885,5079,Gambia,,38.5667,-8.773705
21888,5082,Porto Abrigo,,38.581823,-8.680497
22022,8307,Retiro Motoristas,,38.562213,-8.78397
22023,8308,Apeadeiro,,38.561063,-8.786602
22049,8362,Bombas Cepsa,,38.579187,-8.677313
22024,8309,Moveis Formosa,,38.558115,-8.793308
22025,8310,Pontes,,38.555152,-8.802715
22026,8311,Pontes Cafe Central,,38.552357,-8.80789
21884,5078,Sitio Pontes,,38.549368,-8.812175
22027,8312,Pontes Cafe Pina,,38.546115,-8.817777
21883,5077,Cotovia,,38.544202,-8.827367
22028,8313,Sado,,38.54377,-8.830905
22032,8317,Poco Mouro,,38.53762,-8.854873
22029,8314,Hotel Ibis,,38.539242,-8.837667
21882,5076,Alto Guerra,,38.53796,-8.846823
22031,8316,Alto Guerra Rest Campones,,38.538112,-8.84476
22030,8315,Alto Guerra Arm Moinho,,38.538307,-8.842027
22033,8319,C N Electrica,,38.535325,-8.863053
22034,8320,Monte Belo,,38.533943,-8.869168
22035,8321,Quatro Caminhos,,38.5313,-8.87534
22036,8322,Setubal Av D Joao II,,38.530023,-8.876497
22037,8323,Setubal Hospital,,38.52891,-8.882507
22039,8325,Setubal Auto Central Portela,,38.528063,-8.886532
21564,829,Setubal,,38.52573,-8.889543
21896,5106,Vale Cao,,38.549045,-8.64887
21913,5124,Troia,,38.492835,-8.90096
22051,8484,Troia Hotel Troiario,,38.490327,-8.901288
22052,8485,Troia Vilas do Mar,,38.487138,-8.896362
22053,8486,Troia Golf,,38.47898,-8.889208
22054,8487,Troia Antigo Parque Campismo,,38.475192,-8.88656
21912,5123,Instalacoes Militares,,38.46575,-8.873475
22055,8488,Ferry Boat X,,38.463812,-8.867583
22056,8489,Sol Trioa,,38.46082,-8.859797
22070,8505,Casebres Rua Mafurinha,,38.529283,-8.49296
21917,5128,Casebres,,38.527297,-8.49424
22071,8506,Casebres Padaria,,38.525668,-8.494755
21911,5122,Nato,,38.45525,-8.853925
21916,5127,Gargolim Cima,,38.50664,-8.498723
21897,5107,Palma,,38.48016,-8.59639
21934,5180,Ponte Pera,,38.440872,-8.83529
21956,5641,Cruzt Herdade Palma,,38.476317,-8.593903
21953,5356,Barrancao,,38.54096,-8.371015
21915,5126,Fonte Santa,,38.485765,-8.50437
21955,5635,Monte Alamos,,38.512538,-8.392425
22069,8504,Serra do Pinhal,,38.472617,-8.507058
22050,8483,Marco Real,,38.455802,-8.561462
21914,5125,Vale Rabiças - X,,38.466647,-8.508358
21957,5642,Monte Novo Palma,,38.430262,-8.634697
21926,5146,Carrasqueira,,38.40941,-8.750943
22061,8494,Carrasqueira Est Possanco,,38.407787,-8.752122
22062,8495,Carrasqueira Rest Rola,,38.40765,-8.747768
21925,5142,Carrasqueira - X,,38.401842,-8.744055
22060,8493,Possanco Bairro Novo,,38.397668,-8.770747
21924,5141,Murta - X,,38.405872,-8.706877
21932,5169,Possanco,,38.39514,-8.777667
22063,8496,Monte Novo do Sul,,38.404832,-8.681818
22057,8490,Comporta Praia,,38.384408,-8.798358
21910,5121,Comporta,,38.38152,-8.787693
22059,8492,Comporta Rua Palmeiras,,38.380752,-8.783927
22058,8491,Comporta Centro Saude,,38.380372,-8.785863
21898,5108,Alberge,,38.429313,-8.522332
22078,8513,Comporta X Alcacer,,38.377507,-8.786632
21923,5140,Cachopos - X,,38.3942,-8.657667
21920,5132,Vale Roque,,38.471147,-8.371727
21944,5335,Sao Cristovao,,38.491268,-8.307008
22064,8497,Herdade Montalvo,,38.394192,-8.626212
21922,5139,Torrinha - X,,38.396152,-8.615455
22065,8498,Herdade Casas Novas,,38.397173,-8.599407
22066,8499,Herdade da Batalha,,38.395452,-8.579758
21943,5333,Santa Susana,,38.447912,-8.391787
21899,5109,Vale Gra,,38.400527,-8.514813
21909,5120,Torre,,38.350842,-8.778833
22048,8358,Alcacer do Sal Olival Queimado,,38.39494,-8.513988
21941,5331,Pego Altar - X,,38.424387,-8.409175
22011,8262,Monte Carvalhos,,38.41938,-8.416803
22010,8261,Courela do Pego,,38.410015,-8.428928
21942,5332,Pego Altar,,38.420852,-8.393738
22047,8357,Alcacer do Sal Castelo,,38.38454,-8.513067
21939,5329,Santa Catarina Sitimos- X,,38.40275,-8.43531
22009,8260,Monte Olival,,38.399963,-8.442808
21921,5138,Moinho Ordem,,38.370292,-8.548722
22008,8259,Monte Arcebispos,,38.394827,-8.454443
22007,8258,Vale Matanca,,38.390708,-8.463672
22077,8512,Brejos X,,38.329217,-8.760028
21900,5110,Alcacer Sal,,38.375428,-8.51041
22068,8501,Bairro Rio Clerigos,,38.377687,-8.501485
21908,5119,Brejos Carregueira,,38.326365,-8.756033
21935,5194,Bairro Laranjal,,38.375902,-8.49599
21919,5131,Monte Gaxa,,38.38188,-8.472173
21940,5330,Santa Catarina Sitimos,,38.393538,-8.431477
21970,8041,Alcacer Junta Freguesia,,38.371733,-8.506768
21969,8040,Alcacer Bombeiros,,38.370267,-8.505633
21968,8039,Alcacer Tribunal,,38.369773,-8.500628
21858,3375,Bairro Forno Cal - X,,38.366007,-8.511387
21933,5172,Bairro Quintinha,,38.36063,-8.516012
21938,5328,Ponte Foz,,38.367282,-8.490502
21971,8042,Alcacer B Quintinha,,38.35934,-8.513933
21857,3374,Bairro Forno Cal,,38.360497,-8.506485
21931,5151,Lagoa Formosa,,38.307252,-8.771998
21906,5117,Carvalhal (Grandola),,38.30999,-8.747548
21945,5342,Monte Vinha Barrosinha,,38.362453,-8.482468
22074,8509,Alto Pina,,38.309162,-8.751487
22076,8511,Restaurante Mira Ponte,,38.309465,-8.74222
22073,8508,Carvalhal Curral,,38.308457,-8.744478
21927,5147,Carvalhal  X (Grand),,38.307103,-8.739875
22075,8510,Pego Escola Primaria,,38.300162,-8.768763
21937,5276,Pego,,38.296048,-8.76471
21905,5116,Casa Branca Grandola,,38.299948,-8.728272
21901,5112,Casa Cant. Valverde,,38.309953,-8.529565
21907,5118,Pinheiro Cruz,,38.268623,-8.727227
21928,5148,Muda,,38.269595,-8.68811
21959,5923,Foros Albergaria,,38.293535,-8.547892
21902,5113,Albergaria Sado,,38.296208,-8.533778
21972,8043,Castelo Ventoso,,38.288918,-8.536045
21904,5115,Vale Coelheiros,,38.261172,-8.677795
22067,8500,Arez (Alcacer),,38.298197,-8.482975
