service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DU,1,1,1,1,1,0,0,20251101,20261001
DU-X2,0,1,1,1,1,0,0,20251101,20261001
DU-X46,1,1,0,1,0,0,0,20251101,20261001
DU-XAGO,1,1,1,1,1,0,0,20251101,20261001

2,1,0,0,0,0,0,0,20251101,20261001
4,0,0,1,0,0,0,0,20251101,20261001

24,1,0,1,0,0,0,0,20251101,20261001

234-AGO,1,1,1,0,0,0,0,20260801,20260831

234-XAGO,1,1,1,0,0,0,0,20251101,20261001
46-AGO,0,0,1,0,1,0,0,20260801,20260831
46-XAGO,0,0,1,0,1,0,0,20251101,20261001
5-XAGO,0,0,1,0,0,0,0,20251101,20261001

ESC-DU,1,1,1,1,1,0,0,20251101,20261001
ESC-DU-46,0,0,1,0,1,0,0,20251101,20261001
ESC-DU-X46,1,1,0,1,0,0,0,20251101,20261001
ESC-DU-X4,1,1,0,1,1,0,0,20251101,20261001
ESC-DU-XFMPTG,1,1,1,1,1,0,0,20251101,20261001
ESC-4,0,0,1,0,0,0,0,20251101,20261001
ESC-4-XFMPTG,0,0,1,0,0,0,0,20251101,20261001
ESC-DU-XFMELV,1,1,1,1,1,0,0,20251101,20261001
ESC-234,1,1,1,0,0,0,0,20251101,20261001
ESC-5,0,0,0,1,0,0,0,20251101,20261001
ESC-5-XAGO,0,0,0,1,0,0,0,20251101,20261001
ESC-2346,1,1,1,0,1,0,0,20251101,20261001
ESC-2346-XAGO,1,1,1,0,1,0,0,20251101,20261001
ESC-4-XAGO,0,0,1,0,0,0,0,20251101,20261001
ESC-46,0,0,1,0,1,0,0,20251101,20261001
ESC-DU-XAGO,1,1,1,1,1,0,0,20251101,20261001
ESC-6,0,0,0,0,1,0,0,20251101,20261001
ESC-DU-X6,1,1,1,1,0,0,0,20251101,20261001


FER-DU,1,1,1,1,1,0,0,20251101,20261001
FER-DU-XAGO,1,1,1,1,1,0,0,20251101,20261001
FER-DU-XFMPTG,1,1,1,1,1,0,0,20251101,20261001
FER-DU-XFMELV,1,1,1,1,1,0,0,20251101,20261001
FER-DU-XJUL,1,1,1,1,1,0,0,20251101,20261001
FER-2,1,0,0,0,0,0,0,20251101,20261001
FER-DU-X2,0,1,1,1,1,0,0,20251101,20261001
FER-5-XAGO,0,0,0,1,0,0,0,20251101,20261001
FER-5,0,0,0,1,0,0,0,20251101,20261001
FER-2346,1,1,1,0,1,0,0,20251101,20261001
FER-4-XFMPTG,0,0,1,0,0,0,0,20251101,20261001
