trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
63_4_5012_0_06:45,06:45:00,06:45:00,16963,1,1
63_4_5012_0_06:45,06:46:00,06:46:00,16962,2,0
63_4_5012_0_06:45,06:46:00,06:46:00,17372,3,0
63_4_5012_0_06:45,06:47:00,06:47:00,17371,4,0
63_4_5012_0_06:45,06:48:00,06:48:00,16961,5,0
63_4_5012_0_06:45,06:49:00,06:49:00,17370,6,0
63_4_5012_0_06:45,06:51:00,06:51:00,16960,7,0
63_4_5012_0_06:45,06:53:00,06:53:00,16959,8,0
63_4_5012_0_06:45,06:54:00,06:54:00,17369,9,0
63_4_5012_0_06:45,06:55:00,06:55:00,16848,10,0
63_4_5012_0_06:45,06:55:00,06:55:00,17368,11,0
63_4_5012_0_06:45,06:56:00,06:56:00,16959,12,0
63_4_5012_0_06:45,06:57:00,06:57:00,17367,13,0
63_4_5012_0_06:45,06:58:00,06:58:00,17366,14,0
63_4_5012_0_06:45,06:59:00,06:59:00,16958,15,0
63_4_5012_0_06:45,07:02:00,07:02:00,16957,16,0
63_4_5012_0_06:45,07:04:00,07:04:00,16847,17,0
63_4_5012_0_06:45,07:06:00,07:06:00,16957,18,0
63_4_5012_0_06:45,07:09:00,07:09:00,16956,19,0
63_4_5012_0_06:45,07:13:00,07:13:00,16851,20,0
63_4_5012_0_06:45,07:14:00,07:14:00,16947,21,0
63_4_5012_0_06:45,07:15:00,07:15:00,16945,22,0
63_4_5012_0_06:45,07:16:00,07:16:00,16947,23,0
63_4_5012_0_06:45,07:18:00,07:18:00,17351,24,0
63_4_5012_0_06:45,07:20:00,07:20:00,16955,25,0
63_4_5012_0_06:45,07:22:00,07:22:00,17350,26,0
63_4_5012_0_06:45,07:23:00,07:23:00,17349,27,0
63_4_5012_0_06:45,07:24:00,07:24:00,17348,28,0
63_4_5012_0_06:45,07:35:00,07:35:00,16831,29,0
63_4_5012_0_06:45,07:36:00,07:36:00,17347,30,0
63_4_5012_0_06:45,07:37:00,07:37:00,17365,31,0
63_4_5012_0_06:45,07:37:00,07:37:00,17064,32,0
63_4_5012_0_06:45,07:37:00,07:37:00,16954,33,0
63_4_5012_0_06:45,07:40:00,07:40:00,17364,34,0
63_4_5012_0_06:45,07:43:00,07:43:00,16953,35,0
63_4_5012_0_06:45,07:43:00,07:43:00,17363,36,0
63_4_5012_0_06:45,07:45:00,07:45:00,16952,37,0
63_4_5012_0_06:45,07:46:00,07:46:00,17359,38,0
63_4_5012_0_06:45,07:48:00,07:48:00,17357,39,0
63_4_5012_0_06:45,07:49:00,07:49:00,17358,40,0
63_4_5012_0_06:45,07:55:00,07:55:00,16816,41,1
63_4_5012_0_07:10,07:10:00,07:10:00,16963,1,1
63_4_5012_0_07:10,07:11:00,07:11:00,16962,2,0
63_4_5012_0_07:10,07:11:00,07:11:00,17372,3,0
63_4_5012_0_07:10,07:12:00,07:12:00,17371,4,0
63_4_5012_0_07:10,07:13:00,07:13:00,16961,5,0
63_4_5012_0_07:10,07:14:00,07:14:00,17370,6,0
63_4_5012_0_07:10,07:16:00,07:16:00,16960,7,0
63_4_5012_0_07:10,07:18:00,07:18:00,16959,8,0
63_4_5012_0_07:10,07:19:00,07:19:00,17369,9,0
63_4_5012_0_07:10,07:20:00,07:20:00,16848,10,0
63_4_5012_0_07:10,07:20:00,07:20:00,17368,11,0
63_4_5012_0_07:10,07:21:00,07:21:00,16959,12,0
63_4_5012_0_07:10,07:22:00,07:22:00,17367,13,0
63_4_5012_0_07:10,07:23:00,07:23:00,17366,14,0
63_4_5012_0_07:10,07:24:00,07:24:00,16958,15,0
63_4_5012_0_07:10,07:27:00,07:27:00,16957,16,0
63_4_5012_0_07:10,07:29:00,07:29:00,16847,17,0
63_4_5012_0_07:10,07:31:00,07:31:00,16957,18,0
63_4_5012_0_07:10,07:34:00,07:34:00,16956,19,0
63_4_5012_0_07:10,07:38:00,07:38:00,16851,20,0
63_4_5012_0_07:10,07:39:00,07:39:00,16947,21,0
63_4_5012_0_07:10,07:40:00,07:40:00,16945,22,0
63_4_5012_0_07:10,07:42:00,07:42:00,16947,23,0
63_4_5012_0_07:10,07:42:00,07:42:00,17351,24,0
63_4_5012_0_07:10,07:46:00,07:46:00,16955,25,0
63_4_5012_0_07:10,07:47:00,07:47:00,17350,26,0
63_4_5012_0_07:10,07:49:00,07:49:00,17349,27,0
63_4_5012_0_07:10,07:50:00,07:50:00,17348,28,0
63_4_5012_0_07:10,07:51:00,07:51:00,16831,29,1
63_4_5012_1_08:30,08:30:00,08:30:00,16816,1,1
63_4_5012_1_08:30,08:31:00,08:31:00,17358,2,0
63_4_5012_1_08:30,08:32:00,08:32:00,17357,3,0
63_4_5012_1_08:30,08:34:00,08:34:00,16940,4,0
63_4_5012_1_08:30,08:40:00,08:40:00,16952,5,0
63_4_5012_1_08:30,08:43:00,08:43:00,17363,6,0
63_4_5012_1_08:30,08:45:00,08:45:00,16953,7,0
63_4_5012_1_08:30,08:48:00,08:48:00,17364,8,0
63_4_5012_1_08:30,08:51:00,08:51:00,16954,9,0
63_4_5012_1_08:30,08:54:00,08:54:00,17064,10,0
63_4_5012_1_08:30,08:56:00,08:56:00,17365,11,0
