stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
16814,402,Abrantes,,39.463025,-8.213527
17306,8399,Abrantes Clinica,,39.461782,-8.204963
17305,8398,Abrantes Mercado,,39.460848,-8.199685
17304,8397,Abrantes Hospital,,39.457312,-8.19998
17302,8395,Barreiras do Tejo,,39.452317,-8.196285
17303,8396,Abrantes Escola,,39.459435,-8.192623
17066,1547,Rossio Sul Tejo,,39.446667,-8.194033
17075,1557,Estacao Cp Sul Tejo,,39.440369,-8.193983
17067,1548,Arrifana,,39.42933,-8.18775
17068,1549,Sao Macario,,39.422735,-8.184842
17069,1550,Telhado - X,,39.393438,-8.162578
17121,1910,Foros Arrao Baixo,,39.160903,-8.260613
17272,8350,Foros Arrao R Vasco Gama,,39.155452,-8.260737
17273,8351,Foros Arrao Cemiterio,,39.17184,-8.2478
17271,8349,Foros Arrao Baixo R Forcas Armadas,,39.149513,-8.262598
17274,8352,Foros Arrao Cima,,39.17684,-8.241213
17120,1909,Foros Arrao,,39.181348,-8.237557
17301,8394,Bemposta En 2,,39.356815,-8.142857
17300,8393,Bemposta Escola,,39.35458,-8.141182
17070,1551,Bemposta (Abrantes),,39.352133,-8.139302
17071,1552,Chamine - X,,39.348957,-8.138428
17115,1676,Passada,,39.137475,-8.245835
17072,1553,Bemposta - X,,39.289135,-8.130332
17156,5913,Farinha Branca,,39.106593,-8.198035
17155,5740,Lisboa Gare Oriente,,38.768061,-9.100975
17270,8348,Abertas,,39.097113,-8.177237
17263,8341,Montargil Cafe Tropical,,39.07986,-8.175837
17117,1688,Vale Vilao,,39.143845,-8.12325
17074,1556,Vale Bica - X,,39.265233,-8.05425
17265,8343,Vale Vilao Inicio,,39.136672,-8.126663
16822,811,Montargil,,39.078225,-8.172623
17157,5914,Montargil - X,,39.087772,-8.164233
17264,8342,Carvalhoso,,39.094292,-8.15127
17002,1434,Montalvo,,39.102817,-8.142437
17116,1687,Vale Vilao - 1º. X,,39.13252,-8.119132
17118,1689,Vale Vilão - 2º. X,,39.139597,-8.112435
17001,1433,Rasquete,,39.14906,-8.098923
17000,1432,Cansado,,39.181478,-8.07055
16999,1431,Agua Todo Ano,,39.227263,-8.043408
17014,1448,Salteiros,,39.305985,-8.008812
17313,8406,Limite Freg Longomel,,39.291718,-8.01298
17073,1554,Domingao,,39.245077,-8.029635
17015,1449,Rosmaninhal,,39.322567,-7.999095
17312,8405,Longomel Gdrr,,39.333973,-7.993938
17016,1451,Longomel,,39.335463,-7.992422
17299,8392,Tramaga Rua Principal,,39.219563,-8.03789
17013,1447,Barreiras,,39.274077,-8.012633
16998,1430,Tramaga,,39.222402,-8.035458
17089,1582,Longomel - X,,39.331078,-7.991157
17298,8391,Tramaga Esc Primaria,,39.224973,-8.03245
17266,8344,Canarias,,39.244582,-8.022778
16997,1429,Cantinho Ceu,,39.23702,-8.025132
17314,8407,Ponte Sor Modelo,,39.264238,-8.01165
16995,1426,Ponte Sor Escola Secundaria,,39.254987,-8.014695
17017,1452,Escusa - Longomel,,39.335733,-7.983475
17050,1502,Cadafaz,,39.476617,-7.959792
17063,1535,Belver,,39.494,-7.959133
17076,1561,Foros Mocho,,39.05911,-8.1357
