route_id,service_id,trip_id,direction_id
8738,ESC-DU,63_4_ESC-DU_5012_0_41_06:45_07:55,0
8738,FER-DU,63_4_FER-DU_5012_0_29_07:10_07:51,0
8738,ESC-DU,63_4_ESC-DU_5012_1_13_08:30_09:00,1
8738,ESC-DU,63_4_ESC-DU_5012_1_41_17:00_19:26,1
8738,FER-DU,63_4_FER-DU_5012_1_41_17:10_18:31,1
8739,ESC-DU,63_4_ESC-DU_5015_1_18_07:22_07:51,1
8739,DU,63_4_DU_5015_1_18_07:27_07:56,1
8739,ESC-DU,63_4_ESC-DU_5015_1_6_07:40_07:53,1
8739,ESC-DU,63_4_ESC-DU_5015_1_18_08:12_08:41,1
8739,ESC-DU,63_4_ESC-DU_5015_1_6_08:12_08:25,1
8739,ESC-DU,63_4_ESC-DU_5015_1_6_12:44_12:57,1
8739,ESC-DU,63_4_ESC-DU_5015_1_18_13:15_13:39,1
8739,DU,63_4_DU_5015_1_14_13:50_14:18,1
8739,ESC-DU,63_4_ESC-DU_5015_1_5_14:15_14:43,1
8739,ESC-DU,63_4_ESC-DU_5015_1_18_14:27_14:56,1
8739,FER-DU-XAGO,63_4_FER-DU-XAGO_5015_0_7_08:35_08:58,0
8739,ESC-DU,63_4_ESC-DU_5015_0_15_12:15_12:44,0
8739,ESC-DU,63_4_ESC-DU_5015_0_15_12:50_13:19,0
8739,ESC-DU,63_4_ESC-DU_5015_0_6_13:15_13:28,0
8739,ESC-DU,63_4_ESC-DU_5015_0_5_14:00_14:28,0
8739,ESC-4-XFMPTG,63_4_ESC-4-XFMPTG_5015_0_5_14:20_14:28,0
8739,ESC-DU,63_4_ESC-DU_5015_0_15_17:30_17:59,0
8739,ESC-DU,63_4_ESC-DU_5015_0_15_17:45_18:14,0
8739,DU,63_4_DU_5015_0_15_18:15_18:44,0
8739,DU,63_4_DU_5015_0_15_18:30_18:59,0
8739,FER-DU,63_4_FER-DU_5015_0_15_18:30_18:59,0
8739,DU,63_4_DU_5015_0_15_19:10_19:39,0
8740,ESC-DU,63_4_ESC-DU_5029_1_5_07:35_07:57,1
8740,ESC-DU,63_4_ESC-DU_5029_1_17_07:30_08:21,1
8740,FER-DU,63_4_FER-DU_5029_1_7_13:30_13:48,1
8740,ESC-46,63_4_ESC-46_5029_1_5_14:30_14:52,1
8740,ESC-DU,63_4_ESC-DU_5029_1_17_13:40_14:31,1
8740,ESC-DU-X46,63_4_ESC-DU-X46_5029_1_5_17:35_17:57,1
8740,ESC-DU,63_4_ESC-DU_5029_1_14_17:20_18:00,1
8740,FER-DU,63_4_FER-DU_5029_1_23_17:35_19:09,1
8740,ESC-DU,63_4_ESC-DU_5029_1_24_18:00_19:30,1
8740,ESC-DU,63_4_ESC-DU_5029_0_4_07:50_07:56,0
8740,ESC-DU,63_4_ESC-DU_5029_0_23_06:40_08:11,0
