stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
19723,8190,Canha Jardim,,38.767867,-8.626257
19503,5088,Canha,,38.765883,-8.62669
19569,5381,Canha - X,,38.764757,-8.619115
19540,5317,Vale Pousada,,38.75978,-8.632847
19538,5312,Valerio,,38.75145,-8.657732
19722,8189,Canha X En 10,,38.74925,-8.664892
19721,8188,Casa Cantoneiros,,38.746967,-8.664108
19539,5313,Taipadas,,38.74065,-8.657827
19526,5156,Escatelares (Montijo),,38.754435,-8.582163
19720,8187,Estufas Flores,,38.733317,-8.650508
19565,5370,Cortiçadas - X   A.Mata,,38.825878,-8.388448
19719,8186,Marco Geodesico,,38.72297,-8.63805
19678,8142,Corticadas Lavre R 1 de Maio,,38.805023,-8.411133
19679,8143,Corticadas Lavre Escola Primaria,,38.802822,-8.411678
19677,8141,Corticadas Lavre R Liberdade,,38.806693,-8.40402
19566,5371,Cortiçadas Lavre,,38.803708,-8.404645
19502,5087,Cruzt E.N.10 C/ E.N. 251,,38.716388,-8.617712
19504,5089,Abegoaria,,38.7388,-8.539238
19745,8212,Mora Correios,,38.944295,-8.165375
19248,812,Mora,,38.945648,-8.161867
19744,8211,Mora Escola,,38.939848,-8.166673
19567,5373,Cortiçadas Lavre - X,,38.793567,-8.374832
19570,5626,Monte Chamine,,38.964765,-8.132358
19571,5629,Vale Mora - X,,38.945355,-8.149625
19718,8185,Pegoes Casa Pneus,,38.694535,-8.611782
19746,8213,Acude do Gameiro X,,38.960327,-8.130512
19681,8145,Corticadas X V Novas,,38.764635,-8.419475
19717,8184,Pegoes Restaurante Migalhas,,38.68739,-8.612763
19572,5631,Sitio Belga,,38.943722,-8.138678
19682,8146,Monte Picamarica de Baixo,,38.755805,-8.422382
19806,8297,Pegoes X Setubal,,38.682675,-8.612523
19501,5086,Pegoes - X,,38.683302,-8.607862
19564,5369,Lavre,,38.774055,-8.370287
19716,8183,Postes Carmo,,38.682998,-8.59845
19843,8884,Pegoes Escola,,38.678957,-8.609417
19715,8182,Restaurante Forcado,,38.682265,-8.591627
19807,8298,Pegoes Fabrica Eurodoces,,38.67374,-8.61425
19505,5090,Manuel Afonso,,38.680962,-8.582633
19713,8180,Afonsos,,38.680233,-8.576813
19527,5157,Vidigal,,38.704807,-8.497287
19714,8181,Afonsoeiro,,38.67932,-8.570187
19500,5085,Pegoes Est Gare,,38.66491,-8.618405
19556,5359,Ponte Divor,,38.883058,-8.17295
19524,5149,Piçarras - X,,38.680588,-8.555783
19514,5103,Courelas Mata,,38.759523,-8.355382
19509,5097,Fabrica Ameira,,38.72263,-8.429363
19808,8299,Campo  Experimental M Agricultura,,38.650043,-8.63106
19506,5091,Bombel,,38.684743,-8.514483
19710,8177,Bombel Stand Motas,,38.686052,-8.504697
19856,8914,Bombel Nascente,,38.686032,-8.504688
19438,1407,Cabeçao,,38.952795,-8.074183
19893,9033,Monte Branco (Vn),,38.685586,-8.498264
19709,8176,Bombel Vivenda Por do Sol,,38.685608,-8.49809
19855,8913,Escola dos Infantes,,38.687356,-8.487603
19525,5150,Piçarras (V.Novas),,38.653157,-8.581515
19857,8916,R. Fernando Lopes Graca / En4,,38.683997,-8.488794
19557,5360,Brotas,,38.871272,-8.151705
19708,8175,Vendas Novas Cafe O Terraco,,38.683998,-8.485595
19707,8174,Vendas Novas Cafe Alkimia,,38.683425,-8.481432
19854,8912,Infantes,,38.684237,-8.47861
19523,5143,Pedrogao - X,,38.745288,-8.341305
19899,9041,Rua Carlos Pacheco/Rua Almeida Negreiros,,38.679639,-8.485889
19900,9042,Rua Timor/Rua Almeida Negreiros,,38.679572,-8.481561
19706,8173,Vendas Novas Bombas Galp,,38.682397,-8.473633
19437,1405,Cabeçao - X,,38.91859,-8.08701
19743,8210,Ciborro Saida Mora,,38.805078,-8.229988
19853,8911,Boavista,,38.681613,-8.470108
19670,8134,Vendas Novas Boavista,,38.681593,-8.470055
19892,9030,Entrada Poente,,38.681589,-8.469992
19858,8918,R. Almada Negreiros,,38.678917,-8.476944
19687,8151,Vendas Novas  R. Boavista (En4),,38.68106,-8.469665
19244,361,Monte Falcao,,38.84448,-8.171487
19537,5284,Fazendas Piçarras - X,,38.640382,-8.588985
19686,8150,Vendas Novas Rest Rainha Bifanas,,38.680778,-8.466765
19891,9029,Rua Antonio Sardinha,,38.679511,-8.469489
19901,9043,Rua Luis Antonio Firmino/Rua Almeida Negreiros,,38.678306,-8.472372
19559,5363,Ciborro,,38.802395,-8.228265
