stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
18039,822,Evora,,38.568323,-7.918058
18385,8110,Evora Portas do Raimundo,,38.567695,-7.913255
22434,8008,Evora Hotel Ibis,,38.56655,-7.912835
18381,8098,Evora Hotel D Fernando,,38.565387,-7.908028
18382,8099,Evora Chafariz Del Rei,,38.565268,-7.901847
18383,8100,Evora Antiga Est Reguengos,,38.565007,-7.896787
18384,8101,Evora S Jose da Ponte,,38.561038,-7.892137
18098,1538,Entronc. En 254/18,,38.559155,-7.891128
18401,8355,Herdade da Pereira,,38.519138,-7.888468
18091,1050,Monte Mira,,38.48652,-7.897027
18090,1049,Vale Anciada,,38.444407,-7.928052
18096,1141,Chafariz Louzeiro,,38.521482,-7.800472
18089,1048,Aguiar,,38.393307,-7.966085
18095,1140,Sao Manços - X,,38.495515,-7.755157
18088,1047,Viana Alentejo,,38.335392,-8.005233
18369,8010,Viana Alentejo Est Evora,,38.33619,-8.001238
18370,8011,Viana Alentejo Saida V Nova Baronia,,38.33031,-8.006697
18085,1029,Vila Nova Baronia Est,,38.293227,-8.035267
18049,879,Sao Manços,,38.458973,-7.751653
18086,1030,Vila Nova Baronia,,38.28895,-8.037935
22437,9091,São Manços (Rua Sra da Ajuda),,38.457627,-7.748993
18368,8009,Alvito Bombeiros,,38.259627,-7.994023
18079,1020,Alvito,,38.256312,-7.990318
18070,1011,Albergaria Fusos,,38.281805,-7.935743
18140,3191,Santa Margarida Sado,,38.111435,-8.35665
18361,5354,Odivelas,,38.170732,-8.147287
18050,880,Monte Trigo,,38.396422,-7.71412
18097,1252,Monte Ribeira (Alberg.),,38.262042,-7.92118
18078,1019,Monte Bento Senhora,,38.235603,-7.971683
18077,1018,Vila Ruiva,,38.24611,-7.934632
18141,3192,Malhada Velha - X,,38.10291,-8.274535
18076,1017,Vila Alva,,38.249857,-7.900145
18075,1016,Vila Alva - X,,38.245743,-7.901138
18066,1007,Casal Ventoso,,38.12541,-8.133673
18048,870,Figueira Cavaleiros,,38.093937,-8.206858
18402,8537,Figueira Cavaleiros Cafe Estrela,,38.092515,-8.202255
18092,1051,Santana,,38.268418,-7.79945
18367,8007,Monte Zurria,,38.206585,-7.904387
18403,8538,Monte Marmelos,,38.085615,-8.172892
18046,849,Portel,,38.307915,-7.706902
18068,1009,Alfundao,,38.118223,-8.063612
18451,8739,Canhestros Polidesportivo,,38.037947,-8.285703
18146,3231,Canhestros,,38.035628,-8.287593
18147,3232,Aldeia Ruins - X,,38.041693,-8.241838
18080,1021,Vila Frades,,38.213167,-7.823862
18148,3233,Aldeia Ruins,,38.035863,-8.240813
18376,8018,Vila Frades Saida Vidigueira,,38.211695,-7.819127
18069,1010,Faro Alentejo,,38.148662,-7.942315
18149,3234,Olhas,,38.031617,-8.235293
18375,8017,Cuba Saida Vidigueira,,38.168435,-7.889607
18366,8006,Cuba Epac,,38.164702,-7.895368
18074,1015,Cuba Est,,38.163418,-7.894713
18038,819,Vidigueira,,38.212567,-7.800885
18067,1008,Peroguarda,,38.092652,-8.04847
18400,8340,Vidigueira Terminal,,38.208772,-7.805515
18365,8005,Cuba Bombas Galp,,38.161788,-7.891193
18374,8016,Vidigueira R Laranjeiras,,38.208623,-7.800835
18044,837,Ferreira Alentejo,,38.062533,-8.118162
18373,8015,Vidigueira Ent Selmes,,38.208825,-7.79588
18453,8741,Ferreira GNR,,38.059003,-8.11557
18452,8740,Ferreira Mercado,,38.057402,-8.11937
18454,8742,Ferreira B 5 Marco,,38.058955,-8.111708
18455,8743,Quinta S Vicente,,38.064737,-8.092652
18377,8019,Cruzeiro Alcaria,,38.207867,-7.780862
18065,1005,Peroguarda - X,,38.06852,-8.07156
18171,4012,Fortes,,37.996928,-8.2633
18456,8744,Parque Farias,,38.064905,-8.033735
18073,1014,Monte Barreiros,,38.139757,-7.866092
18240,4084,Trigaches,,38.090017,-7.97132
18093,1076,Monte Sesmarias,,38.156338,-7.829035
18199,4043,Casal Novo/Abegoaria,,38.021267,-8.137597
18082,1026,Alcaria,,38.201788,-7.744143
18457,8745,Pedreira,,38.061633,-8.023295
18507,8798,Barragem,,38.081423,-7.971778
18514,8805,Aldeia do Rouquenho,,37.994945,-8.200975
18513,8804,Gasparoes Saida,,37.9956,-8.197283
18399,8339,Albufeira S Matias,,38.145617,-7.83552
18138,3150,Alvalade - X,,37.94208,-8.381332
18139,3151,Alvalade,,37.938413,-8.390437
18201,4045,Gasparoes,,37.994437,-8.188675
18404,8540,Alvalade Associacao Regantes,,37.93793,-8.38717
18512,8803,Monte Gasparoes,,37.994188,-8.169707
18169,4010,Conqueiros - X,,37.937618,-8.364177
18508,8799,Beringel Jardim,,38.058103,-7.982062
18364,8004,Cruzamento Cuba,,38.11916,-7.84776
18151,3239,Monte Freixo - X,,38.119135,-7.847808
18239,4083,Sao Brissos,,38.072148,-7.945605
18509,8800,Beringel X Estrada Nacional,,38.05416,-7.984537
18062,970,Beringel,,38.05373,-7.983582
18168,4009,Monte Chaveira - X,,37.930788,-8.346008
18072,1013,Sao Matias (Beja),,38.110075,-7.856435
18510,8801,Monte Mombeja,,38.032992,-8.017928
18226,4070,Mombeja,,38.024178,-8.035798
18152,3240,Monte Freixo,,38.133492,-7.796827
18371,8013,Selmes Saida Vidigueira,,38.148187,-7.76027
18372,8014,Selmes Jardim,,38.145053,-7.760187
18363,8003,Monte Aparica,,38.09359,-7.858185
18087,1033,Selmes,,38.144692,-7.758685
18083,1027,Monte Pocinhos,,38.176053,-7.70084
